Producto,Fecha,Precio $/KG,Unidad
Cacao Nacional,8/16/2021,7852,CO$/KG
Cacao Nacional,8/23/2021,8208.5,CO$/KG
Cacao Nacional,8/30/2021,8185.3,CO$/KG
Cacao Nacional,9/6/2021,8096.3,CO$/KG
Cacao Nacional,9/13/2021,8289.5,CO$/KG
Cacao Nacional,9/20/2021,8332,CO$/KG
Cacao Nacional,9/27/2021,8399.5,CO$/KG
Cacao Nacional,10/4/2021,8504,CO$/KG
Cacao Nacional,10/11/2021,8782,CO$/KG
Cacao Nacional,10/18/2021,8512.2,CO$/KG
Cacao Nacional,10/25/2021,8299.5,CO$/KG
Cacao Nacional,11/1/2021,8310.3,CO$/KG
Cacao Nacional,11/8/2021,7937.7,CO$/KG
Cacao Nacional,11/15/2021,8118.2,CO$/KG
Cacao Nacional,11/22/2021,8396,CO$/KG
Cacao Nacional,11/29/2021,8411.8,CO$/KG
Cacao Nacional,12/6/2021,8040.4,CO$/KG
Cacao Nacional,12/13/2021,8175.3,CO$/KG
Cacao Nacional,12/20/2021,8359,CO$/KG
Cacao Nacional,12/27/2021,8359,CO$/KG
Cacao Nacional,1/3/2022,8408.5,CO$/KG
Cacao Nacional,1/10/2022,8469,CO$/KG
Cacao Nacional,1/17/2022,8654.5,CO$/KG
Cacao Nacional,1/23/2022,8943.8,CO$/KG
Cacao Nacional,1/24/2022,8943.8,CO$/KG
Cacao Nacional,1/31/2022,8664,CO$/KG
Cacao Nacional,2/7/2022,8814,CO$/KG
Cacao Nacional,2/21/2022,9028.2,CO$/KG
Cacao Nacional,2/28/2022,8955.3,CO$/KG
Cacao Nacional,3/7/2022,8562,CO$/KG
Cacao Nacional,3/14/2022,8696.2,CO$/KG
Cacao Nacional,3/21/2022,8527.7,CO$/KG
Cacao Nacional,3/28/2022,8536.5,CO$/KG
Cacao Nacional,4/4/2022,8543,CO$/KG
Cacao Nacional,4/11/2022,8436,CO$/KG
Cacao Nacional,4/18/2022,8436,CO$/KG
Cacao Nacional,4/25/2022,8365.7,CO$/KG
Cacao Nacional,5/2/2022,8378.3,CO$/KG
Cacao Nacional,5/9/2022,8582.5,CO$/KG
Cacao Nacional,5/16/2022,8478.2,CO$/KG
Cacao Nacional,5/23/2022,8282.3,CO$/KG
Cacao Nacional,5/30/2022,8006.7,CO$/KG
Cacao Nacional,6/6/2022,7992.2,CO$/KG
Cacao Nacional,6/13/2022,7916.2,CO$/KG
Cacao Nacional,6/20/2022,7789.2,CO$/KG
Cacao Nacional,6/27/2022,7852.5,CO$/KG
Cacao Nacional,7/4/2022,7885.8,CO$/KG
Cacao Nacional,7/11/2022,8243.7,CO$/KG
Cacao Nacional,7/18/2022,8565.3,CO$/KG
Cacao Nacional,7/25/2022,8628.3,CO$/KG
Cacao Nacional,8/1/2022,8628.3,CO$/KG
Cacao Nacional,8/8/2022,8491.3,CO$/KG
Cacao Nacional,8/15/2022,8579.16,CO$/KG
Cacao Nacional,8/22/2022,8625,CO$/KG
Cacao Nacional,8/29/2022,8699.2,CO$/KG
Cacao Nacional,9/5/2022,8855.8,CO$/KG
Cacao Nacional,9/12/2022,8815.8,CO$/KG
Cacao Nacional,9/19/2022,8717.5,CO$/KG
Cacao Nacional,9/26/2022,8662.5,CO$/KG
Cacao Nacional,10/3/2022,8811.66,CO$/KG
Cacao Nacional,10/10/2022,8985,CO$/KG
Cacao Nacional,10/17/2022,9008.3,CO$/KG
Cacao Nacional,10/31/2022,9399.2,CO$/KG
Cacao Nacional,11/7/2022,9647.5,CO$/KG
Cacao Nacional,11/14/2022,9918.2,CO$/KG
Cacao Nacional,11/21/2022,10008.3,CO$/KG
Cacao Nacional,11/28/2022,9966.7,CO$/KG
Cacao Nacional,12/19/2022,9985,CO$/KG
Cacao Nacional,12/26/2022,10095,CO$/KG
Cacao Nacional,1/2/2023,10095,CO$/KG
Cacao Nacional,1/9/2023,10462.2,CO$/KG
Cacao Nacional,1/16/2023,10530.8,CO$/KG
Cacao Nacional,1/23/2023,10580,CO$/KG
Cacao Nacional,1/30/2023,10820,CO$/KG
Cacao Nacional,2/6/2023,10857.8,CO$/KG
Cacao Nacional,2/13/2023,10924.5,CO$/KG
Cacao Nacional,2/20/2023,11246.7,CO$/KG
Cacao Nacional,2/27/2023,11559,CO$/KG
Cacao Nacional,3/6/2023,11867.5,CO$/KG
Cacao Nacional,3/13/2023,11748.3,CO$/KG
Cacao Nacional,3/19/2023,11576.7,CO$/KG
Cacao Nacional,3/27/2023,11691.7,CO$/KG
Cacao Nacional,4/3/2023,11640,CO$/KG
Cacao Nacional,4/8/2023,11858.3,CO$/KG
Cacao Nacional,4/10/2023,11641.7,CO$/KG
Cacao Nacional,4/17/2023,11576.7,CO$/KG
Cacao Nacional,4/24/2023,11618.7,CO$/KG
Cacao Nacional,5/1/2023,11688.3,CO$/KG
Cacao Nacional,5/8/2023,11858.3,CO$/KG
Cacao Nacional,5/15/2023,11925,CO$/KG
